[2016-07-19 09:58:31] WeeChat 1.5 (compiled on Jul 19 2016 09:31:31)
[2016-07-19 09:58:31] Reading configuration file sec.conf
[2016-07-19 09:58:31] Reading configuration file weechat.conf
[2016-07-19 09:58:31] Reading configuration file plugins.conf
[2016-07-19 09:58:31] Reading configuration file charset.conf
[2016-07-19 09:58:31] Reading configuration file logger.conf
[2016-07-19 09:58:31] Reading configuration file exec.conf
[2016-07-19 09:58:31] Reading configuration file trigger.conf
[2016-07-19 09:58:31] Reading configuration file aspell.conf
[2016-07-19 09:58:31] Reading configuration file alias.conf
[2016-07-19 09:58:31] Reading configuration file xfer.conf
[2016-07-19 09:58:31] Reading configuration file irc.conf
[2016-07-19 09:58:31] Reading configuration file relay.conf
[2016-07-19 09:58:31] Reading configuration file buffers.conf
[2016-07-19 09:58:31] Reading configuration file colorize_nicks.conf
[2016-07-19 09:58:31] Reading configuration file script.conf
[2016-07-19 09:58:31] irc: connecting to server irc.nb/6667...
[2016-07-19 17:52:35] irc: connecting to server irc.nb/6667...
[2016-07-19 19:10:13] irc: connecting to server irc.nb/6667...
[2016-07-19 21:00:44] irc: connecting to server irc.nb/6667...
[2016-07-19 21:16:23] irc: connecting to server irc.nb/6667...
[2016-07-19 21:19:03] irc: connecting to server irc.nb/6667...
[2016-07-19 21:24:23] irc: connecting to server irc.nb/6667...
[2016-07-19 21:37:39] irc: connecting to server irc.nb/6667...
[2016-07-19 21:49:59] irc: connecting to server irc.nb/6667...
[2016-07-19 22:06:16] irc: connecting to server irc.nb/6667...
[2016-07-19 22:21:51] irc: connecting to server irc.nb/6667...
[2016-07-19 22:53:41] irc: connecting to server irc.nb/6667...
[2016-07-19 23:09:20] irc: connecting to server irc.nb/6667...
[2016-07-20 01:08:46] irc: connecting to server irc.nb/6667...
[2016-07-20 01:24:25] irc: connecting to server irc.nb/6667...
[2016-07-20 03:24:31] irc: connecting to server irc.nb/6667...
[2016-07-20 04:10:57] irc: connecting to server irc.nb/6667...
[2016-07-20 06:20:38] irc: connecting to server irc.nb/6667...
[2016-07-20 06:30:38] irc: connecting to server irc.nb/6667...
[2016-07-20 06:32:13] irc: connecting to server irc.nb/6667...
[2016-07-20 06:32:33] irc: connecting to server irc.nb/6667...
[2016-07-20 06:34:13] irc: connecting to server irc.nb/6667...
[2016-07-20 06:36:33] irc: connecting to server irc.nb/6667...
[2016-07-20 06:40:13] irc: connecting to server irc.nb/6667...
